기준년월일,시군구명,남성 10세미만 유동인구수,남성 10-14세 유동인구수,남성 15-19세 유동인구수,남성 20-24세 유동인구수,남성 25-29세 유동인구수,남성 30-34세 유동인구수,남성 35-39세 유동인구수,남성 40-44세 유동인구수,남성 45-49세 유동인구수,남성 50-54세 유동인구수,남성 55-59세 유동인구수,남성 60-64세 유동인구수,남성 65-69세 유동인구수,남성 70세이상 유동인구수,여성 10세미만 유동인구수,여성 10-14세 유동인구수,여성 15-19세 유동인구수,여성 20-24세 유동인구수,여성 25-29세 유동인구수,여성 30-34세 유동인구수,여성 35-39세 유동인구수,여성 40-44세 유동인구수,여성 45-49세 유동인구수,여성 50-54세 유동인구수,여성 55-59세 유동인구수,여성 60-64세 유동인구수,여성 65-69세 유동인구수,여성 70세이상 유동인구수
20240102,,10727.64,,14708.3,20868.22,26588.81,21761.31,21586.72,20176.63,28473.34,31514.97,37266.32,35191.44,29196.97,22777.1,33379.08,,11013.36,14463.85,16363.38,16785.6,16322.38,16768.67,20436.69,25585.06,26049.92,29708.73,27546.13,24747.02
20240102,,5588.68,,7168.98,8088.22,8629.86,6788.87,8010.5,10162.31,14255.58,15624.35,14909.81,10060.32,7847.97,5287.19,6441.19,,5253.97,8467.51,6546.11,5598.68,4764.11,7151.79,8867.46,13339.02,14758.37,12074.36,8807.37,6772.71
20240102,,19686.96,,26063.22,22925.38,24507.26,32432.83,42494.84,46830.57,60839.69,56156.46,57951.2,50911.02,41707.39,29173.54,35234.8,,20255.09,24726.04,20049.24,19675.4,22339.17,27445.94,33850.84,40085.33,36279.22,33656.32,30406.85,27216.82
20240102,,3268.24,,5588.07,6165.25,7613.63,7913.24,9141.47,10231.73,16075.18,14973.16,17873.77,17758.78,14521.03,11769.73,18201.48,,3641.57,5244.92,5570.93,5013.65,5790.78,6052.76,7889.23,8901.61,10711.2,11800.26,13584.75,12485.91
20240102,,5098.68,,5986.15,8238.6,7541.62,9543.1,9480.94,10032.39,15080.04,15295.42,17606.6,19658.78,16526.2,13763.26,24194.08,,4066.89,6085.16,6884.19,6167.64,6848.79,6708.87,9112.4,10561.46,12552.67,13611.8,16802.09,14739.21
20240102,,3387.98,,4972.33,6310.75,6235.77,7573.63,8352.72,10236.1,12560.84,13412.04,15497.94,15663,15222.72,13062.1,21547.67,,3403.98,5174.4,5621.81,4407.86,5115.99,4850.87,6395.32,9065.57,10163.45,11666.04,13523.29,13407.07
20240102,,2271.6,,2673.94,3213.73,4605.25,4558.64,4851.66,5169.7,7409.99,7639.84,8224.97,8688.89,7816.69,6834.41,11456.68,,2155.51,2922.09,2829.41,3010.87,3967.91,3445.39,4221.65,4904.69,5102.56,5836.01,6809.8,6440.3
20240102,,7719.23,,12597.86,16683.8,17760.3,16839.13,16562.65,17832.12,24977.7,26116.87,30725.25,28143.65,23982.28,18613.14,28039.58,,9632.49,12672.67,14914.91,14369.77,12301.17,13187.87,16955.34,23260.47,23476.94,24923.77,21035.55,20584.84
20240102,,7086.89,,9323.79,12291.07,13229.99,16605.34,18041.82,20731.09,27371.8,28218.59,31891.77,31428.22,27007.6,22347.41,33143.92,,6552.81,8359.14,9580.48,11552.88,11521.51,12758.97,15420.76,19930.44,20139.39,23632.83,23732.51,22620.93
20240102,,4496.01,,7246.32,7290.18,7301.39,8804.34,9992.72,11839.91,15009.63,16333.21,16824.11,16107.46,15270.47,14004.82,20228.87,,4840.1,7493.25,6780.94,4979.25,6306.06,7105.9,9507.8,11249.89,12040.92,13168.03,15086.52,14523.41
