순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
55,충청남도,천안시 동남구,리각미술관,충남 천안시 동남구 태조산길 245-0,문화관광,전시시설,2614
56,충청남도,천안시 동남구,풍세관광농원,충남 천안시 동남구 송정2길 156-0,체험관광,농/산/어촌체험,2485
57,충청남도,천안시 동남구,볼베어파크천안점,충남 천안시 동남구 옛시청길 29-0,문화관광,테마공원,2230
58,충청남도,천안시 동남구,천안시청소년수련관,충남 천안시 동남구 중앙로 111-0,레저스포츠,육상레저스포츠,2139
59,충청남도,천안시 동남구,천안자동차극장,충남 천안시 동남구 5산단로 331-17,문화관광,공연시설,1970
60,충청남도,천안시 동남구,아라리오갤러리,충남 천안시 동남구 만남로 43-0,문화관광,전시시설,1875
61,충청남도,천안시 동남구,와클라이밍천안점,충남 천안시 동남구 성남로 39-1,레저스포츠,기타레저스포츠,1768
61,충청남도,천안시 동남구,상록리조트컨벤션센터,충남 천안시 동남구 수신로 576-0,문화관광,기타문화관광지,1768
63,충청남도,천안시 동남구,뚜루실내바다낚시터천안점,충남 천안시 동남구 매봉로 220-8,레저스포츠,수상레저스포츠,1767
64,충청남도,천안시 동남구,구룡사,충남 천안시 동남구 백자1길 72-113,역사관광,종교성지,1627
65,충청남도,천안시 동남구,천안역전시장,충남 천안시 동남구 공설시장1길 9-0,쇼핑,시장,1532
66,충청남도,천안시 동남구,천안예술의전당미술관,충남 천안시 동남구 종합휴양지로 185-0,문화관광,전시시설,1474
67,충청남도,천안시 동남구,화이트블럭천안창작촌,충남 천안시 동남구 광풍로 315-0,문화관광,기타문화관광지,1455
68,충청남도,천안시 동남구,각원사관광지,충남 천안시 동남구 각원사길 187-21,문화관광,복합관광시설,1413
69,충청남도,천안시 동남구,로라랜드,충남 천안시 동남구 터미널9길 25-0,레저스포츠,기타레저스포츠,1409
70,충청남도,천안시 동남구,만수사,충남 천안시 동남구 용곡1길 54-0,역사관광,종교성지,1379
