순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
58,충청남도,천안시 동남구,아우내먹거리순대,충남 천안시 동남구 아우내순대길 27-0,음식,한식,4753
59,충청남도,천안시 동남구,옥돌돼지갈비,충남 천안시 동남구 풍년길 58-0,음식,한식,4725
60,충청남도,천안시 동남구,탐앤탐스천안단국대호수점,충남 천안시 동남구 단대로 119-0,음식,카페/찻집,4659
61,충청남도,천안시 동남구,동원정,충남 천안시 동남구 서부대로 543-0,음식,한식,4621
62,충청남도,천안시 동남구,향촌흑염소,충남 천안시 동남구 태조산길 99-7,음식,한식,4619
63,충청남도,천안시 동남구,스타벅스천안안서점,충남 천안시 동남구 안서3길 3-0,음식,카페/찻집,4596
64,충청남도,천안시 동남구,해물화짬뽕1호점 [중식],충남 천안시 동남구 교천지산길 104-0,음식,외국식,4556
65,충청남도,천안시 동남구,송담추어탕천안백석점,충남 천안시 동남구 서부대로 581-0,음식,한식,4529
66,충청남도,천안시 동남구,아우내장터순대,충남 천안시 동남구 아우내순대길 40-0,음식,한식,4516
67,충청남도,천안시 동남구,봉명치킨,충남 천안시 동남구 봉정로 34-0,음식,간이음식,4461
68,충청남도,천안시 동남구,한양화로천안구룡점,충남 천안시 동남구 광풍로 1698-0,음식,한식,4394
69,충청남도,천안시 동남구,마리스커피,충남 천안시 동남구 천호지길 11-0,음식,카페/찻집,4357
70,충청남도,천안시 동남구,정상갈비,충남 천안시 동남구 유량로 107-0,음식,한식,4349
71,충청남도,천안시 동남구,송연[한식],충남 천안시 동남구 양지말1길 11-4,음식,한식,4313
72,충청남도,천안시 동남구,프리퍼팩토리,충남 천안시 동남구 종합휴양지로 77-0,음식,카페/찻집,4287
73,충청남도,천안시 동남구,아우내생고기,충남 천안시 동남구 성남로 8-0,음식,한식,4148
74,충청남도,천안시 동남구,갈비만청당점,충남 천안시 동남구 청수11로 13-17,음식,한식,4034
75,충청남도,천안시 동남구,맘앤쉐프[한식],충남 천안시 동남구 은지2길 38-0,음식,한식,3997
76,충청남도,천안시 동남구,벤베커유량본점,충남 천안시 동남구 유량로 107-0,음식,카페/찻집,3940
77,충청남도,천안시 동남구,목골식당,충남 천안시 동남구 약수로 207-0,음식,한식,3922
78,충청남도,천안시 동남구,풍세커피,충남 천안시 동남구 한우물2길 90-0,음식,카페/찻집,3910
79,충청남도,천안시 동남구,정원,충남 천안시 동남구 서부대로 139-0,음식,전문음식,3860
80,충청남도,천안시 동남구,그림스,충남 천안시 동남구 미죽5길 232-1,음식,카페/찻집,3813
81,충청남도,천안시 동남구,만강,충남 천안시 동남구 청당2길 73-0,음식,전문음식,3724
82,충청남도,천안시 동남구,북한강쭈꾸미신방점,충남 천안시 동남구 통정1로 20-13,음식,전문음식,3697
83,충청남도,천안시 동남구,신은수참병천순대집,충남 천안시 동남구 아우내순대길 9-0,음식,한식,3684
84,충청남도,천안시 동남구,브레드보드,충남 천안시 동남구 종합휴양지로 183-0,음식,간이음식,3677
85,충청남도,천안시 동남구,천진[중식],충남 천안시 동남구 공고담길 43-5,음식,외국식,3648
86,충청남도,천안시 동남구,천안축산농협한우프라자청당점,충남 천안시 동남구 광풍로 1775-0,음식,한식,3647
87,충청남도,천안시 동남구,도가원,충남 천안시 동남구 광풍로 1851-0,음식,한식,3644
88,충청남도,천안시 동남구,티볼리,충남 천안시 동남구 청수10길 4-39,음식,외국식,3641
89,충청남도,천안시 동남구,상무초밥천안점,충남 천안시 동남구 만남로 6-0,음식,외국식,3571
90,충청남도,천안시 동남구,투썸플레이스천안원성DT점,충남 천안시 동남구 천안대로 654-0,음식,카페/찻집,3552
91,충청남도,천안시 동남구,소복갈비천안점,충남 천안시 동남구 향교5길 50-0,음식,한식,3537
92,충청남도,천안시 동남구,능수정,충남 천안시 동남구 청수4로 8-0,음식,한식,3523
93,충청남도,천안시 동남구,수제빵연구소,충남 천안시 동남구 남부대로 364-0,음식,간이음식,3501
94,충청남도,천안시 동남구,카페슈,충남 천안시 동남구 중리1길 55-0,음식,카페/찻집,3492
95,충청남도,천안시 동남구,강촌마을왕우렁쌈밥,충남 천안시 동남구 충절로 1162-0,음식,한식,3471
96,충청남도,천안시 동남구,꽃게옥천안유량동점,충남 천안시 동남구 유량로 204-0,음식,전문음식,3458
97,충청남도,천안시 동남구,버거킹천안신방DT점,충남 천안시 동남구 남부대로 92-0,음식,간이음식,3430
98,충청남도,천안시 동남구,불나는쭈꾸미유량점,충남 천안시 동남구 양지말1길 5-0,음식,전문음식,3422
99,충청남도,천안시 동남구,박승광최강해물손칼국수,충남 천안시 동남구 태조산길 162-0,음식,한식,3336
100,충청남도,천안시 동남구,현대옥천안신방점,충남 천안시 동남구 서부대로 139-0,음식,한식,3253
101,충청남도,천안시 동남구,등촌샤브칼국수,충남 천안시 동남구 만남로 80-0,음식,전문음식,3217
102,충청남도,천안시 동남구,신방동먹자골목,충남 천안시 동남구,음식,음식점기타,3191
103,충청남도,천안시 동남구,앳니스,충남 천안시 동남구 구성12길 9-0,음식,카페/찻집,3183
104,충청남도,천안시 동남구,진원소우천안청당점,충남 천안시 동남구 청수14로 102-0,음식,한식,3141
105,충청남도,천안시 동남구,산둘레[한식],충남 천안시 동남구 성불사길 60-0,음식,한식,3129
106,충청남도,천안시 동남구,란쌀국수,충남 천안시 동남구 충절로 244-0,음식,외국식,3128
107,충청남도,천안시 동남구,맥도날드천안고속버스터미널점,충남 천안시 동남구 만남로 43-0,음식,간이음식,3058
108,충청남도,천안시 동남구,그리고스페셜티,충남 천안시 동남구 유량로 104-0,음식,카페/찻집,3015
109,충청남도,천안시 동남구,에이게이트카페목천점,충남 천안시 동남구 동리2길 183-0,음식,카페/찻집,3014
110,충청남도,천안시 동남구,아우내한방순대,충남 천안시 동남구 아우내순대길 18-0,음식,한식,3008
