순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
211,충청남도,천안시 서북구,하오츠미엔[중식],충남 천안시 서북구 선영10길 2-0,음식,외국식,2411
211,충청남도,천안시 서북구,찐배네꽃갈비천안점,충남 천안시 서북구 검은들3길 46-0,음식,한식,2411
213,충청남도,천안시 서북구,명성당호두과자,충남 천안시 서북구 삼성대로 346-0,음식,간이음식,2402
214,충청남도,천안시 서북구,투썸플레이스천안성정제일점,충남 천안시 서북구 쌍용대로 233-0,음식,카페/찻집,2395
215,충청남도,천안시 서북구,SUBWAY천안신불당점,충남 천안시 서북구 불당21로 65-0,음식,간이음식,2342
216,충청남도,천안시 서북구,오리세상,충남 천안시 서북구 불당1길 44-0,음식,전문음식,2328
217,충청남도,천안시 서북구,애슐리퀸즈갤러리아천안점,충남 천안시 서북구 공원로 227-0,음식,전문음식,2327
218,충청남도,천안시 서북구,커피볶는토아빈,충남 천안시 서북구 망향로 1094-22,음식,카페/찻집,2318
219,충청남도,천안시 서북구,스시린두정점,충남 천안시 서북구 원두정8길 6-0,음식,외국식,2310
220,충청남도,천안시 서북구,디에떼에스프레소두정점,충남 천안시 서북구 오성로 72-0,음식,카페/찻집,2309
221,충청남도,천안시 서북구,소코아불당점,충남 천안시 서북구 불당28길 12-0,음식,전문음식,2301
222,충청남도,천안시 서북구,제주은희네해장국천안쌍용점,충남 천안시 서북구 서부대로 348-0,음식,한식,2278
223,충청남도,천안시 서북구,신진성아구찜해물찜신불당점,충남 천안시 서북구 불당29길 11-3,음식,한식,2271
224,충청남도,천안시 서북구,록희원[중식],충남 천안시 서북구 서부대로 717-0,음식,외국식,2270
225,충청남도,천안시 서북구,등촌샤브칼국수성성점,충남 천안시 서북구 성성3길 12-0,음식,한식,2261
226,충청남도,천안시 서북구,굴섬두정3호점,충남 천안시 서북구 오성8길 36-0,음식,한식,2259
227,충청남도,천안시 서북구,품안,충남 천안시 서북구 성성2길 152-0,음식,한식,2252
228,충청남도,천안시 서북구,그니식당,충남 천안시 서북구 불당32길 3-10,음식,한식,2251
229,충청남도,천안시 서북구,큰댁[한식],충남 천안시 서북구 성정중4길 30-0,음식,한식,2248
230,충청남도,천안시 서북구,카페보니또천안마치에비뉴점,충남 천안시 서북구 한들1로 196-0,음식,카페/찻집,2242
231,충청남도,천안시 서북구,코다리덕장,충남 천안시 동남구 충무로 170-18,음식,한식,2238
232,충청남도,천안시 서북구,남당리횟집,충남 천안시 서북구 백석로 197-0,음식,전문음식,2230
233,충청남도,천안시 서북구,양당가든,충남 천안시 서북구 양당로 165-0,음식,한식,2218
234,충청남도,천안시 서북구,청정계곡,충남 천안시 서북구 공원로 219-0,음식,한식,2215
235,충청남도,천안시 서북구,사생활,충남 천안시 서북구 불당32길 9-0,음식,전문음식,2214
236,충청남도,천안시 서북구,영수테이블,충남 천안시 서북구 불당32길 6-0,음식,전문음식,2203
237,충청남도,천안시 서북구,구암생갈비,충남 천안시 서북구 성정10길 24-0,음식,한식,2198
238,충청남도,천안시 서북구,고반식당신불당점,충남 천안시 서북구 불당21로 67-26,음식,한식,2197
239,충청남도,천안시 서북구,아비시니아,충남 천안시 서북구 서부대로 471-14,음식,카페/찻집,2191
240,충청남도,천안시 서북구,설빙천안불당점,충남 천안시 서북구 검은들3길 29-0,음식,카페/찻집,2179
241,충청남도,천안시 서북구,찐배네꽃갈비천안두정점,충남 천안시 서북구 두정로 208-0,음식,한식,2171
242,충청남도,천안시 서북구,통,충남 천안시 서북구 공원로 205-0,음식,전문음식,2165
243,충청남도,천안시 서북구,삼육가천안두정점,충남 천안시 서북구 원두정6길 17-0,음식,한식,2158
244,충청남도,천안시 서북구,벤베커천안두정점,충남 천안시 서북구 부성4길 35-1,음식,카페/찻집,2153
